no_akun,no_subakun,nama_akun,debet_kredit,kategori,saldo
11110,11110,Kas,DEBET,,
11120,11120,Kas di Bank,DEBET,,
11210,11210,Deposito di BPR,DEBET,,
11310,11310,Piutang Dagang,DEBET,,
11320,11320,Cadangan Kerugian Piutang,DEBET,,
11330,11330,Piutang Karyawan,DEBET,,
11340,11340,Piutang Lain-lain,DEBET,,
11410,11410,Persediaan Barang,DEBET,,
11510,11510,Persekot Biaya Perjalanan,DEBET,,
11520,11520,Persekot Biaya Asuransi,DEBET,,
12010,12010,Investasi Jangka Panjang,DEBET,,
13110,13110,Tanah,DEBET,,
13120,13120,Peralatan,DEBET,,
13130,13130,Kendaraan,DEBET,,
13220,13220,Akumulasi Penyusutan Peralatan,KREDIT,,
13230,13230,Akumulasi Penyusutan Kendaraan,KREDIT,,
21010,21010,Utang Dagang,KREDIT,,
21020,21020,Utang Gaji,KREDIT,,
21030,21030,Utang Jangka Pendek Bank,KREDIT,,
21040,21040,Utang Jangka Pendek Lain-lain,KREDIT,,
22010,22010,Utang Jangka Panjang dari Bank,KREDIT,,
30010,30010,Modal Pemilik,KREDIT,,
30020,30020,Laba Periode Berjalan,KREDIT,,
41010,41010,Penjualan,KREDIT,,
51010,51010,Harga Pokok Penjualan,DEBET,,
52110,52110,Biaya Gaji,DEBET,,
52120,52120,Biaya Pemasaran,DEBET,,
52130,52130,Biaya Penyusutan Peralatan,DEBET,,
52140,52140,Biaya Pengiriman,DEBET,,
52150,52150,Biaya Penjualan Rupa-rupa,DEBET,,
52160,52160,Biaya Sewa,DEBET,,
52170,52170,Biaya Penyusutan Kendaraan,DEBET,,
52180,52180,Biaya Perjalanan,DEBET,,
52190,52190,Biaya Asuransi,DEBET,,
52200,52200,Biaya Perlengkapan Kantor,DEBET,,
52210,52210,Biaya Administrasi Rupa-rupa,DEBET,,
61010,61010,Pendapatan Lain-lain,KREDIT,,
61020,61020,Biaya Lain-lain,DEBET,,
