id,no_akun,no_subakun,nama_akun,debet_kredit,kategori,saldo
1,11110,11110,Kas,DEBET,,
2,11120,11120,Kas di Bank,DEBET,,
3,11210,11210,Deposito di BPR,DEBET,,
4,11310,11310,Piutang Dagang,DEBET,,
5,11320,11320,Cadangan Kerugian Piutang,DEBET,,
6,11330,11330,Piutang Karyawan,DEBET,,
7,11340,11340,Piutang Lain-lain,DEBET,,
8,11410,11410,Persediaan Barang,DEBET,,
9,11510,11510,Persekot Biaya Perjalanan,DEBET,,
10,11520,11520,Persekot Biaya Asuransi,DEBET,,
11,12010,12010,Investasi Jangka Panjang,DEBET,,
12,13110,13110,Tanah,DEBET,,
13,13120,13120,Peralatan,DEBET,,
14,13130,13130,Kendaraan,DEBET,,
15,13220,13220,Akumulasi Penyusutan Peralatan,KREDIT,,
16,13230,13230,Akumulasi Penyusutan Kendaraan,KREDIT,,
17,21010,21010,Utang Dagang,KREDIT,,
18,21020,21020,Utang Gaji,KREDIT,,
19,21030,21030,Utang Jangka Pendek Bank,KREDIT,,
20,21040,21040,Utang Jangka Pendek Lain-lain,KREDIT,,
21,22010,22010,Utang Jangka Panjang dari Bank,KREDIT,,
22,30010,30010,Modal Pemilik,KREDIT,,
23,30020,30020,Laba Periode Berjalan,KREDIT,,
24,41010,41010,Penjualan,KREDIT,,
25,51010,51010,Harga Pokok Penjualan,DEBET,,
26,52110,52110,Biaya Gaji,DEBET,,
27,52120,52120,Biaya Pemasaran,DEBET,,
28,52130,52130,Biaya Penyusutan Peralatan,DEBET,,
29,52140,52140,Biaya Pengiriman,DEBET,,
30,52150,52150,Biaya Penjualan Rupa-rupa,DEBET,,
31,52160,52160,Biaya Sewa,DEBET,,
32,52170,52170,Biaya Penyusutan Kendaraan,DEBET,,
33,52180,52180,Biaya Perjalanan,DEBET,,
34,52190,52190,Biaya Asuransi,DEBET,,
35,52200,52200,Biaya Perlengkapan Kantor,DEBET,,
36,52210,52210,Biaya Administrasi Rupa-rupa,DEBET,,
37,61010,61010,Pendapatan Lain-lain,KREDIT,,
38,61020,61020,Biaya Lain-lain,DEBET,,
